rank,university,total_score,ref_rank,year
1,Harvard University,95.9,-,2007
2,Johns Hopkins University,59.9,-,2007
3,University of Washington - Seattle,57.2,-,2007
4,Stanford University,55.7,-,2007
5,University of California - Los Angeles,55.5,-,2007
6,University of Michigan - Ann Arbor,54.7,-,2007
7,University of California - Berkeley,51.7,-,2007
8,University of California - San Diego,50,-,2007
9,Columbia University,49.9,-,2007
10,Massachusetts Institute of Technology,49.9,-,2007
11,University of Pennsylvania,49.4,-,2007
12,University of Toronto,48.4,-,2007
13,University of Tokyo,47.7,-,2007
14,Yale University,47.6,-,2007
15,University of California - San Francisco,46.6,-,2007
16,Duke University,45.9,-,2007
17,University of Cambridge,45.8,-,2007
18,Cornell University,45.6,-,2007
19,University of Oxford,44.7,-,2007
20,University of Wisconsin - Madison,44.4,-,2007
21,University of Pittsburgh - Pittsburgh,44,-,2007
22,University of Minnesota - Twin Cities,43.8,-,2007
23,University of North Carolina - Chapel Hill,42,-,2007
24,University of London - University College London,41.5,-,2007
25,Washington University in St. Louis,41.2,-,2007
26,The University of Chicago,40.9,-,2007
27,Kyoto University,39.8,-,2007
28,University of London - Imperial College London,39.7,-,2007
29,Northwestern University,37.5,-,2007
30,The Ohio State University - Columbus,37.4,-,2007
31,Pennsylvania State University,37.4,-,2007
32,California Institute of Technology,37,-,2007
33,The University of Texas - M. D. Anderson Cancer Center,36.9,-,2007
34,The University of Texas - Southwestern Medical Center at Dallas,36.8,-,2007
35,University of California - Davis,36.6,-,2007
36,McGill University,36.6,-,2007
37,Mayo Clinic College of Medicine,36.4,-,2007
38,University of Arizona,35.9,-,2007
39,The University of British Columbia,35.8,-,2007
40,Osaka University,35.6,-,2007
41,University of Illinois - Urbana-Champaign,34.9,-,2007
42,Catholic University of Leuven,34.5,-,2007
43,New York University,34.5,-,2007
44,University of Florida,34.2,-,2007
45,Vanderbilt University,33.7,-,2007
46,Ludwig Maximilian University of Munich,33.1,-,2007
47,Boston University,32.9,-,2007
48,Princeton University,32.6,-,2007
49,University of California - Irvine,32.5,-,2007
50,Karolinska Institutet,32.4,-,2007
51,University of Southern California,32.2,-,2007
52,University of Helsinki,32.1,-,2007
53,University of Edinburgh,32.1,-,2007
54,Emory University,32,-,2007
55,University of Colorado - Denver and Health Sciences Center,31.8,-,2007
56,Utrecht University,31.6,-,2007
57,University of Alabama - Birmingham,31.4,-,2007
58,The University of Manchester,31.3,-,2007
59,University of Virginia,31.3,-,2007
60,University of Maryland - College Park,31.2,-,2007
61,Ruprecht Karl University of Heidelberg,31.2,-,2007
62,University of Iowa,31.2,-,2007
63,Baylor College of Medicine,31,-,2007
64,University of Melbourne,31,-,2007
65,University of Colorado - Boulder,31,-,2007
66,The University of Texas - Austin,31,-,2007
67,University of Utah,30.9,-,2007
68,The Rockefeller University,30.6,-,2007
69,Lund University,30.5,-,2007
70,Tohoku University,30.3,-,2007
71,University of Alberta,30.2,-,2007
72,University of Zurich,30.1,-,2007
73,Swiss Federal Institute of Technology - Zurich,29.8,-,2007
74,University of Milan,29.7,-,2007
75,Texas A&M University - College Station,29.6,-,2007
76,Tufts University,29.5,-,2007
77,The University of Sydney,29.4,-,2007
78,University of Amsterdam,29.4,-,2007
79,Case Western Reserve University,29.1,-,2007
80,University of Rochester,29,-,2007
81,The University of Texas - Health Science Center at Houston,28.6,-,2007
82,State University of New York - Stony Brook,28.6,-,2007
83,University of Illinois - Chicago,28.3,-,2007
84,University of Bristol,28.3,-,2007
85,University of Maryland - Baltimore,27.9,-,2007
86,University of Copenhagen,27.9,-,2007
87,Leiden University,27.8,-,2007
88,University of California - Santa Barbara,27.7,-,2007
89,McMaster University,27.6,-,2007
89,University of Massachusetts - Medical School,27.6,-,2007
